"","ensembl_gene_id","hgnc_symbol","spin","tpm_resting","tpm_activated"
"48","ENSG00000102445","KIAA0226L","Interior_Act3",294.871775520905,103.578829614407
"49","ENSG00000102580","DNAJC3","Interior_Act3",10225.3990496027,14710.8645543613
"50","ENSG00000104219","ZDHHC2","Lamina related",10430.2139188696,5238.06868455762
"51","ENSG00000104691","UBXN8","Interior_Act3",1056.73817459036,3515.43277134459
"52","ENSG00000106415","GLCCI1","Interior_Act3",3973.0413238264,964.954808876104
"53","ENSG00000106443","PHF14","Lamina related",5414.00221665229,8325.28180314429
"54","ENSG00000106688","SLC1A1","Lamina related",184.448514371255,29.5168460741264
"55","ENSG00000106772","PRUNE2","Lamina related",33.8767685120884,35.0118369847839
"56","ENSG00000107249","GLIS3","Lamina related",130.194479101641,11.7889249572194
"57","ENSG00000107295","SH3GL2","Lamina related",0,0
"58","ENSG00000108018","SORCS1","Lamina related",0,0
"59","ENSG00000109472","CPE","Lamina related",21.3711470577378,10.2946330260102
"60","ENSG00000109861","CTSC","Lamina related",5076.68216727826,12144.2362564773
"61","ENSG00000111058","ACSS3","Lamina related",0,0
"62","ENSG00000111215","PRR4","Lamina related",321.423751301955,116.535048405771
"63","ENSG00000111906","HDDC2","Lamina related",3494.7153796036,9379.93260422496
"64","ENSG00000111961","SASH1","Lamina related",173.266368249701,113.94062377654
"65","ENSG00000112038","OPRM1","Lamina related",0,0
"66","ENSG00000112186","CAP2","Lamina related",0,0
"67","ENSG00000112249","ASCC3","Lamina related",9401.35428386363,19047.1310622839
"68","ENSG00000112305","SMAP1","Lamina related",1198.04009687112,1291.35046314484
"69","ENSG00000112701","SENP6","Lamina related",10576.6302473991,8868.84089565971
"70","ENSG00000112706","IMPG1","Lamina related",18.0269800542361,2.25704809888917
"71","ENSG00000113448","PDE4D","Lamina related",4764.53191739803,4179.60726120514
"72","ENSG00000113594","LIFR","Lamina related",17.0292913318563,6.400239054334
"73","ENSG00000113657","DPYSL3","Lamina related",1.82625573982108,74.6239158748079
"74","ENSG00000113971","NPHP3","Lamina related",4700.66609093446,717.946273592646
"75","ENSG00000114279","FGF12","Lamina related",0,3.88207352974039
"76","ENSG00000114541","FRMD4B","Lamina related",978.765041314853,2337.29425686377
"77","ENSG00000114805","PLCH1","Lamina related",9.1599334290932,80.9582678558961
"78","ENSG00000115183","TANC1","Interior_Act3",76.9177203991764,87.8593610962212
"79","ENSG00000115232","ITGA4","Lamina related",29126.6736317069,27463.1634631514
"80","ENSG00000115239","GPR75-ASB3","Lamina related",592.261573997486,298.426362747283
"81","ENSG00000115414","FN1","Interior_Act3",218.753239580803,159.756771642064
"82","ENSG00000116141","MARK1","Lamina related",13.8552151880735,8.25654674878047
"83","ENSG00000116147","TNR","Lamina related",3.22054304400709,1.95299475670315
"84","ENSG00000116641","DOCK7","Lamina related",1420.02808709454,1230.83063214841
"85","ENSG00000116729","WLS","Lamina related",0,0
"86","ENSG00000116754","SRSF11","Lamina related",23676.6447876562,24888.7202497172
"87","ENSG00000117114","LPHN2","Lamina related",1.68729637865337,6.62696656067357
